iter	Passed	Remaining
159	7587	16123
160	7637	16081
161	7690	16046
162	7745	16013
163	7790	15961
164	7835	15908
165	7882	15860
166	7923	15798
167	7985	15780
168	8032	15732
169	8087	15700
170	8134	15649
171	8174	15589
172	8229	15554
173	8279	15511
174	8327	15466
175	8381	15430
176	8442	15405
177	8502	15380
178	8568	15366
179	8616	15318
180	8673	15285
181	8717	15232
182	8763	15179
183	8819	15146
184	8878	15117
185	8933	15082
186	8982	15035
187	9030	14987
188	9074	14932
189	9128	14894
190	9177	14847
191	9229	14805
192	9288	14775
193	9345	14740
194	9406	14712
195	9472	14691
196	9538	14670
197	9595	14635
198	9644	14588
199	9689	14534
200	9737	14485
201	9781	14430
202	9828	14379
203	9879	14335
204	9929	14289
205	9983	14248
206	10029	14195
207	10082	14154
208	10129	14104
209	10173	14048
210	10221	14000
211	10266	13946
212	10315	13899
213	10367	13855
214	10412	13802
215	10457	13749
216	10503	13697
217	10554	13652
218	10615	13620
219	10669	13579
220	10717	13529
221	10762	13477
222	10812	13430
223	10868	13391
224	10924	13351
225	11060	13409
226	11147	13405
227	11198	13360
228	11251	13315
229	11290	13254
230	11358	13227
231	11398	13167
232	11448	13119
233	11503	13076
234	11561	13037
235	11637	13018
236	11714	12999
237	11775	12963
238	11841	12931
239	11904	12896
240	11960	12853
241	12015	12809
242	12063	12758
243	12118	12714
244	12171	12668
245	12224	12622
246	12278	12576
247	12321	12519
248	12362	12462
249	12415	12415
250	12483	12384
251	12539	12340
252	12584	12285
253	12629	12231
254	12690	12192
255	12740	12142
256	12799	12102
257	12848	12051
258	12900	12003
259	12964	11967
260	13019	11922
261	13069	11872
262	13112	11816
263	13168	11771
264	13222	11725
265	13287	11688
266	13354	11653
267	13408	11607
268	13471	11568
269	13545	11538
270	13595	11488
271	13641	11435
272	13695	11388
273	13745	11337
274	13796	11287
275	13855	11245
276	13907	11196
277	13957	11146
278	14009	11096
279	14064	11050
280	14113	10999
281	14169	10953
282	14219	10903
283	14277	10858
284	14329	10810
285	14383	10762
286	14431	10710
287	14489	10665
288	14531	10609
289	14589	10565
290	14650	10522
291	14704	10474
292	14748	10419
293	14798	10369
294	14855	10323
295	14905	10272
296	14962	10226
297	15016	10179
298	15071	10131
299	15132	10088
300	15185	10039
301	15278	10017
302	15342	9975
303	15395	9926
304	15450	9878
305	15528	9844
306	15591	9802
307	15646	9753
308	15694	9700
309	15755	9656
310	15805	9605
311	15876	9566
312	15928	9516
313	15986	9469
314	16045	9423
315	16115	9383
316	16168	9333
317	16214	9280
318	16257	9224
319	16307	9172
320	16364	9125
321	16412	9072
322	16462	9021
323	16511	8969
324	16565	8920
325	16617	8869
326	16674	8821
327	16720	8768
328	16771	8717
329	16822	8666
330	16871	8614
331	16919	8561
332	16971	8511
333	17021	8459
334	17072	8408
335	17120	8356
336	17173	8306
337	17244	8265
338	17305	8218
339	17370	8174
340	17458	8140
341	17517	8092
342	17571	8043
343	17622	7991
344	17669	7938
345	17721	7887
346	17770	7835
347	17830	7788
348	17882	7737
349	17921	7680
350	17967	7627
351	18009	7572
352	18064	7522
353	18109	7468
354	18164	7419
355	18224	7371
356	18272	7319
357	18315	7264
358	18361	7211
359	18404	7157
360	18458	7107
361	18512	7057
362	18563	7006
363	18626	6959
364	18666	6904
365	18720	6853
366	18768	6801
367	18816	6749
368	18868	6698
369	18921	6648
370	18964	6593
371	19017	6543
372	19062	6490
373	19117	6440
374	19170	6390
375	19228	6341
376	19274	6288
377	19322	6236
378	19372	6185
379	19431	6136
380	19476	6083
381	19523	6030
382	19580	5981
383	19642	5933
384	19732	5894
385	19791	5845
386	19853	5797
387	19906	5746
388	19954	5694
389	20007	5643
390	20050	5589
391	20095	5536
392	20148	5485
393	20198	5434
394	20236	5379
395	20286	5327
396	20332	5275
397	20387	5224
398	20430	5171
399	20494	5123
400	20541	5071
401	20586	5018
402	20637	4967
403	20693	4917
404	20739	4864
405	20783	4812
406	20839	4761
407	20893	4711
408	20935	4658
409	20987	4607
410	21039	4555
411	21086	4503
412	21133	4451
413	21180	4399
414	21236	4349
415	21294	4299
416	21344	4248
417	21397	4197
418	21459	4148
419	21519	4098
420	21566	4046
421	21646	4000
422	21705	3951
423	21794	3906
424	21862	3858
425	21938	3810
426	22062	3771
427	22118	3720
428	22228	3678
429	22319	3633
430	22513	3604
431	22590	3555
432	22650	3504
433	22710	3453
434	22768	3402
435	22814	3348
436	22861	3295
437	22912	3243
438	22958	3190
439	23015	3138
440	23069	3086
441	23142	3036
442	23211	2986
443	23273	2935
444	23344	2885
445	23529	2848
446	23589	2797
447	23642	2744
448	23686	2690
449	23754	2639
450	23806	2586
451	23855	2533
452	23909	2480
453	23968	2428
454	24033	2376
455	24127	2328
456	24181	2275
457	24234	2222
458	24288	2169
459	24366	2118
460	24447	2068
461	24513	2016
462	24567	1963
463	24629	1910
464	24689	1858
465	24791	1808
466	24850	1756
467	24983	1708
468	25198	1665
469	25316	1615
470	25475	1568
471	25595	1518
472	25679	1465
473	25745	1412
474	25801	1357
475	25854	1303
476	25910	1249
477	25964	1195
478	26021	1140
479	26071	1086
480	26143	1032
481	26221	979
482	26288	925
483	26354	871
484	26418	817
485	26480	762
486	26550	708
487	26653	655
488	26722	601
489	26791	546
490	26873	492
491	26952	438
492	27077	384
493	27142	329
494	27213	274
495	27273	219
496	27336	165
497	27396	110
498	27491	55
499	27549	0
