iter	RMSE
406	3159.138673
407	3156.837746
408	3154.42576
409	3151.784575
410	3149.306905
411	3147.825786
412	3146.601156
413	3145.389389
414	3142.976946
415	3139.719737
416	3138.982243
417	3138.143503
418	3136.401251
419	3135.498558
420	3133.096497
421	3132.004569
422	3129.148175
423	3124.268952
424	3123.067434
425	3121.8332
426	3119.100821
427	3116.081482
428	3114.669373
429	3113.577557
430	3112.13131
431	3108.906668
432	3107.269221
433	3104.782945
434	3104.237293
435	3102.426667
436	3097.116971
437	3096.35372
438	3094.332829
439	3093.226566
440	3090.457926
441	3089.26879
442	3087.370243
443	3085.945974
444	3085.039941
445	3083.509448
446	3080.769336
447	3077.379647
448	3074.711249
449	3072.93205
450	3069.242832
451	3067.930165
452	3066.758342
453	3065.596144
454	3063.524069
455	3060.514386
456	3058.860251
457	3056.837302
458	3053.679354
459	3051.587528
460	3048.405313
461	3045.996168
462	3043.346133
463	3039.426105
464	3035.83404
465	3033.378064
466	3031.902306
467	3030.409105
468	3028.203004
469	3026.91146
470	3023.09203
471	3020.78292
472	3019.668718
473	3018.758026
474	3017.027042
475	3014.16781
476	3013.322733
477	3012.592734
478	3011.162522
479	3008.870695
480	3006.5491
481	3005.611205
482	3004.4544
483	3002.064209
484	2999.745066
485	2996.735843
486	2995.643285
487	2994.493501
488	2993.01584
489	2992.077405
490	2988.026878
491	2986.351362
492	2984.551202
493	2981.237202
494	2978.868269
495	2977.582943
496	2976.514365
497	2975.155821
498	2972.630972
499	2969.052376
